Designator,Mid X,Mid Y,Rotation,Layer
C13,72.3,42.3,270.0,top
C136,110.18,93.8,0.0,top
C137,91.9,139.0,90.0,top
C138,64.7,148.4,180.0,top
C139,107.8,140.2,0.0,top
C14,73.0,44.6,0.0,top
C140,99.8,140.2,0.0,top
C141,100.2,137.625,0.0,top
C142,92.5,135.2,90.0,top
C144,91.9,129.925,90.0,top
C145,105.9,131.75,90.0,top
C146,53.9,136.725,180.0,top
C147,110.1,131.125,90.0,top
C148,107.7,131.1,90.0,top
C149,109.2,124.625,0.0,top
C15,77.3,45.3,90.0,top
C150,108.86,98.2,0.0,top
C151,101.4,105.5,90.0,top
C152,86.32,104.9675,90.0,top
C153,102.0,79.5,180.0,top
C154,82.25,97.25,180.0,top
C155,82.4,89.6,90.0,top
C156,108.65,88.6,0.0,top
C157,93.5,73.25,180.0,top
C158,108.2,77.2,270.0,top
C159,108.35,85.05,0.0,top
C16,74.3,53.5,180.0,top
C160,108.24,83.25,0.0,top
C161,110.65,82.7,0.0,top
C162,93.25,76.0,0.0,top
C163,101.0,78.4,0.0,top
C164,108.86,97.17,0.0,top
C165,109.75,99.25,0.0,top
C166,97.94,105.0,0.0,top
C167,82.25,96.25,180.0,top
C168,82.94,83.05,270.0,top
C169,125.6,82.7,270.0,top
C17,62.845,83.065,0.0,top
C171,81.1,53.8,90.0,top
C172,95.5,53.0,180.0,top
C173,85.9,40.6,270.0,top
C174,113.0,123.12,180.0,top
C175,114.31,113.03,180.0,top
C176,58.7,128.125,270.0,top
C177,118.0,113.8,180.0,top
C178,60.7,127.325,270.0,top
C18,92.5,70.23,270.0,top
C180,113.0,60.8375,270.0,top
C181,114.5,60.5,270.0,top
C182,52.7,130.625,0.0,top
C183,112.0,63.0,180.0,top
C184,110.5,61.5,180.0,top
C185,59.0,123.0,90.0,top
C186,61.0,123.0,90.0,top
C187,61.19,116.1,270.0,top
C188,117.5,70.0,90.0,top
C189,119.0,70.0,90.0,top
C19,105.0,70.25,270.0,top
C191,118.0,61.5,90.0,top
C192,107.1,54.9,180.0,top
C193,107.1,53.7,180.0,top
C194,122.0,65.0,180.0,top
C195,129.4,53.7,270.0,top
C2,127.25,134.0,180.0,top
C20,80.0,70.25,270.0,top
C200,108.65,87.02,180.0,top
C201,85.81,126.825,90.0,top
C203,91.4,124.225,270.0,top
C204,97.275,112.76,270.0,top
C206,52.3,117.1,180.0,top
C227,52.9,93.7,0.0,top
C3,127.25,111.75,0.0,top
C43,98.77,108.05,0.0,top
C51,114.6,83.8,180.0,top
C55,125.6,96.9,270.0,top
C61,111.2191,84.9,180.0,top
C62,100.9,73.8,180.0,top
C63,125.6,92.0,270.0,top
C64,54.8,54.7,90.0,top
C65,125.6,87.35,270.0,top
C66,104.4,72.9,180.0,top
C74,45.0,126.7,180.0,top
D1,42.5,61.5,270.0,top
D10,75.8,58.4,0.0,top
D2,138.4,67.0,180.0,top
D20,56.6,51.9,270.0,top
D23,72.7,37.5,90.0,top
D24,71.5,123.7,0.0,top
D3,74.7,149.8,180.0,top
D30,88.2,120.2,0.0,top
D31,94.2,120.3,180.0,top
D32,80.4,56.0,180.0,top
D35,57.3,116.7,180.0,top
D37,64.7,37.5,90.0,top
D4,62.0,37.5,90.0,top
D40,82.9,50.3,90.0,top
D41,68.3,143.3,0.0,top
D42,56.3,37.5125,270.0,top
D46,68.2,133.0,0.0,top
D5,67.3,37.5,90.0,top
D50,71.4,100.8,180.0,top
D51,71.3,114.4,180.0,top
D54,84.5832,56.6332,0.0,top
D55,102.1832,55.0332,0.0,top
D6,70.0,37.5,270.0,top
D62,95.2,126.8,270.0,top
D7,59.1,37.5,90.0,top
D8,138.4,72.8,180.0,top
D9,103.6,132.325,90.0,top
F1,69.7,155.45,180.0,top
F12,78.0,142.4,90.0,top
F2,84.9,59.0,180.0,top
F3,82.5,120.0625,270.0,top
F6,71.6,105.8,0.0,top
F7,71.6,119.3,0.0,top
J1,51.8,51.0,90.0,top
J16,135.01,113.495,270.0,top
J17,117.475,155.695,180.0,top
J19,43.0,52.3,270.0,top
J2,54.7,151.2,270.0,top
J22,54.6,144.2,270.0,top
J27,97.8,46.174400000000006,0.0,top
J30,63.1,52.8,90.0,top
J33,66.3,102.79,270.0,top
J34,66.3,114.7,270.0,top
J43,79.2,40.335,0.0,top
J46,116.76,49.38517,0.0,top
J48,45.47,91.21,270.0,top
J49,74.2,82.0,270.0,top
J59,66.9,128.4,270.0,top
J60,66.9,139.3,270.0,top
J9,91.6,146.65,180.0,top
JP2,73.87,93.0,180.0,top
L1,95.6,136.0,180.0,top
L10,110.5,59.9,0.0,top
L12,54.0,122.725,90.0,top
L13,59.7,119.6,0.0,top
L2,59.8,132.125,90.0,top
L3,101.8,123.9,180.0,top
L4,108.9,127.625,180.0,top
L5,111.57,89.99,180.0,top
L6,93.7,74.5,0.0,top
L7,106.4,77.2,270.0,top
L8,101.0,75.8,270.0,top
L9,119.9102,117.9102,0.0,top
M1,51.8,107.0,0.0,top
M11,135.9988,40.8,0.0,top
M15,44.0,40.8,0.0,top
M2,134.0,60.0,0.0,top
M3,44.0,155.7985,0.0,top
M9,135.9988,155.7985,0.0,top
Q1,86.2,46.3,90.0,top
Q21,71.1,102.7,180.0,top
Q22,71.0,116.3,180.0,top
R1,46.6,52.55,270.0,top
R10,120.25,129.0,0.0,top
R102,55.1,157.4,90.0,top
R103,56.6,157.9,0.0,top
R105,89.875,136.0,180.0,top
R106,91.075,134.825,180.0,top
R107,90.9,132.525,180.0,top
R108,57.8,57.2,0.0,top
R11,59.495,87.955,90.0,top
R111,102.9,78.4,0.0,top
R112,106.3,74.5,180.0,top
R113,127.925,83.35,180.0,top
R114,127.95,81.975,0.0,top
R119,82.3,53.8,90.0,top
R12,66.515,85.045,270.0,top
R122,79.9,53.8,270.0,top
R123,105.9,129.7,90.0,top
R124,65.0,40.0,270.0,top
R13,52.1,77.5,0.0,top
R130,72.1,39.8,180.0,top
R132,79.5,102.0,90.0,top
R133,118.0,114.9,180.0,top
R134,118.0,112.7,0.0,top
R135,110.5,63.5,270.0,top
R136,114.0,69.0,270.0,top
R137,79.2,112.7,90.0,top
R141,122.0,67.0,180.0,top
R142,116.5,70.0,90.0,top
R148,52.4,129.125,270.0,top
R149,122.0,66.0,0.0,top
R150,107.0,44.0,0.0,top
R151,107.0,45.9,0.0,top
R152,54.8,132.2,0.0,top
R153,56.8,132.2,0.0,top
R154,54.8,118.6,180.0,top
R155,52.3,118.3,180.0,top
R156,133.1,53.7,270.0,top
R157,135.4,67.95,180.0,top
R158,130.4333,69.8,270.0,top
R159,135.4,66.05,180.0,top
R16,62.0,40.0,270.0,top
R160,131.6,69.8,270.0,top
R161,74.85,123.3,0.0,top
R162,76.9,123.3,0.0,top
R168,46.6,55.5,270.0,top
R17,67.5,40.0,270.0,top
R174,91.25,75.5,270.0,top
R175,111.2,88.2,0.0,top
R176,111.6,86.9,0.0,top
R177,56.3,42.7,270.0,top
R178,59.1,42.8,270.0,top
R179,115.381936,69.008958,270.0,top
R18,69.5,40.5,270.0,top
R182,90.1,124.225,90.0,top
R184,90.5,126.525,0.0,top
R188,125.7,39.5,270.0,top
R19,88.2,38.2,90.0,top
R2,46.6,49.65,270.0,top
R21,59.1,39.9,270.0,top
R22,72.4,134.9,180.0,top
R23,72.4,133.4,0.0,top
R239,52.1,78.6,0.0,top
R24,120.25,125.25,0.0,top
R25,127.75,122.0,0.0,top
R26,129.25,133.5,270.0,top
R27,114.1,82.3,0.0,top
R28,127.9,96.2,0.0,top
R29,127.925,97.75,180.0,top
R3,135.4,73.75,180.0,top
R30,55.1,51.0,90.0,top
R31,55.9,54.7,270.0,top
R32,127.8,92.7,180.0,top
R33,127.775,88.05,180.0,top
R34,127.9,86.6,0.0,top
R35,127.9,91.3,0.0,top
R36,119.5,108.0,0.0,top
R37,119.51,103.25,0.0,top
R4,128.1,69.8,270.0,top
R5,93.5,55.0,0.0,top
R53,49.1,116.8,270.0,top
R65,49.9,125.2,90.0,top
R66,85.6,49.1,180.0,top
R67,85.6,50.2,180.0,top
R68,73.5,90.1,180.0,top
R69,93.8,127.0,270.0,top
R7,135.4,71.85,180.0,top
R70,81.7,47.1,90.0,top
R71,85.6,51.3,0.0,top
R75,82.8,47.1,90.0,top
R76,83.9,47.1,270.0,top
R77,87.1,43.7,180.0,top
R78,73.5,49.3,0.0,top
R79,64.9625,143.6,0.0,top
R8,129.2667,69.8,270.0,top
R80,75.3,49.3,180.0,top
R82,64.6,133.4,0.0,top
R89,92.25,105.75,180.0,top
R9,56.3,40.0,270.0,top
R90,74.9,44.6,0.0,top
R98,73.5,102.2,90.0,top
R99,73.4,115.8,90.0,top
RV3,71.6,99.1,180.0,top
RV4,71.6,112.7,180.0,top
TM1,55.793572,62.560875,0.0,top
U1,125.525,127.79,270.0,top
U10,96.9,131.525,90.0,top
U11,95.17,92.23,90.0,top
U13,114.3053,117.3,0.0,top
U14,55.74,129.015,180.0,top
U16,116.0,65.2596,0.0,top
U17,62.965,86.225,90.0,top
U19,53.2,91.52,270.0,top
U2,124.725,106.27,270.0,top
U20,73.2,141.1,270.0,top
U21,88.0,67.0,270.0,top
U22,75.5,67.0,270.0,top
U23,76.2,129.7,270.0,top
U27,76.4,103.4,90.0,top
U28,76.3,116.9,90.0,top
U3,94.1,57.425,0.0,top
U4,102.7745,112.6599,180.0,top
U5,79.4,46.0,0.0,top
U6,100.5,67.0,270.0,top
U7,73.9,47.0,0.0,top
U9,44.5,119.4,270.0,top
X1,103.6,75.6,270.0,top
X2,121.0,61.8,0.0,top
